nama_kabupaten,latitude,longitude,year,month,temperature_2m_max_monthly_mean,temperature_2m_min_monthly_mean,temperature_2m_mean_monthly_mean,precipitation_sum_monthly_sum,rain_sum_monthly_sum,precipitation_hours_monthly_sum,windspeed_10m_max_monthly_mean,shortwave_radiation_sum_monthly_sum,et0_fao_evapotranspiration_monthly_mean,relative_humidity_2m_max_monthly_mean,relative_humidity_2m_min_monthly_mean,temp_range_monthly_mean,humidity_mean_monthly_mean,drought_index_monthly_mean
Kab. Pangandaran,-7.68,108.65,2015,11,30.696666666666665,24.853333333333335,27.243333333333332,141.4,141.4,250.0,12.526666666666667,574.83,3.9496666666666664,93.43333333333334,68.9,5.843333333333334,81.16666666666667,1.3165297546260282
Kab. Pangandaran,-7.68,108.65,2015,12,30.725806451612904,25.364516129032257,27.519354838709678,368.6,368.6,393.0,9.229032258064517,496.82,3.3896774193548387,92.74193548387096,71.48387096774194,5.361290322580646,82.11290322580645,4.901404345112983
Kab. Pangandaran,-7.68,108.65,2016,1,31.812903225806455,25.758064516129032,28.177419354838708,226.9,226.9,271.0,8.67741935483871,584.14,3.9909677419354836,92.70967741935483,69.6774193548387,6.054838709677419,81.19354838709677,1.9722684694055634
Kab. Pangandaran,-7.68,108.65,2016,2,30.803448275862067,25.50689655172414,27.482758620689655,396.59999999999997,396.59999999999997,443.0,8.455172413793104,422.5,3.120344827586207,93.72413793103448,72.93103448275862,5.29655172413793,83.32758620689656,5.314792901872496
Kab. Pangandaran,-7.68,108.65,2016,3,31.6,25.84193548387097,28.174193548387095,274.5,274.5,296.0,8.474193548387097,561.01,3.816774193548387,93.25806451612904,71.19354838709677,5.758064516129032,82.2258064516129,2.724104049667479
Kab. Pangandaran,-7.68,108.65,2016,4,31.583333333333332,26.053333333333335,28.22666666666667,282.1,282.1,314.0,8.096666666666668,509.54,3.5843333333333334,93.06666666666666,71.63333333333334,5.53,82.35,3.14424397500214
Kab. Pangandaran,-7.68,108.65,2016,5,31.419354838709676,25.91290322580645,28.190322580645162,213.0,213.0,320.0,8.738709677419354,485.75,3.2948387096774194,93.58064516129032,72.96774193548387,5.506451612903225,83.2741935483871,2.1898508516569413
Kab. Pangandaran,-7.68,108.65,2016,6,30.85666666666667,24.933333333333334,27.436666666666667,160.2,160.2,257.0,8.543333333333333,467.84,3.2573333333333334,92.66666666666667,70.16666666666667,5.923333333333333,81.41666666666667,2.1764840207533447
Kab. Pangandaran,-7.68,108.65,2016,7,30.212903225806453,24.79032258064516,27.103225806451615,123.7,123.7,283.0,10.425806451612903,500.34000000000003,3.2970967741935486,93.48387096774194,72.64516129032258,5.4225806451612915,83.06451612903226,1.4219521386145548
Kab. Pangandaran,-7.68,108.65,2016,8,29.24516129032258,24.229032258064517,26.429032258064513,96.4,96.4,281.0,12.670967741935485,549.87,3.5638709677419356,91.87096774193549,72.7741935483871,5.016129032258065,82.3225806451613,0.9641007248529845
